"Cotação de venda","Data e hora da cotação"
5.3436,"2023-01-02 13:05:57.593"
5.3759,"2023-01-03 13:11:19.08"
5.4459,"2023-01-04 13:09:19.572"
5.4026,"2023-01-05 13:03:32.262"
5.2855,"2023-01-06 13:02:28.727"
5.2967,"2023-01-09 13:07:16.725"
5.2395,"2023-01-10 13:05:25.681"
5.202,"2023-01-11 13:07:22.492"
5.14,"2023-01-12 13:09:27.278"
5.1146,"2023-01-13 13:10:23.139"
5.1115,"2023-01-16 13:07:23.23"
5.1203,"2023-01-17 13:09:23.089"
5.0909,"2023-01-18 13:11:36.521"
5.2144,"2023-01-19 13:07:18.678"
5.1986,"2023-01-20 13:08:32.655"
5.1922,"2023-01-23 13:10:05.284"
5.1696,"2023-01-24 13:07:36.435"
5.1042,"2023-01-25 13:05:22.246"
5.0951,"2023-01-26 13:02:40.388"
5.0767,"2023-01-27 13:02:20.823"
5.0959,"2023-01-30 13:09:30.184"
5.0993,"2023-01-31 13:11:17.029"
5.0721,"2023-02-01 13:04:23.003"
4.9901,"2023-02-02 13:06:34.991"
5.103,"2023-02-03 13:10:20.729"
5.1763,"2023-02-06 13:09:36.686"
5.1695,"2023-02-07 13:10:17.648"
5.2036,"2023-02-08 13:08:42.613"
5.2315,"2023-02-09 13:06:23.349"
5.2526,"2023-02-10 13:11:17.992"
5.1834,"2023-02-13 13:07:17.912"
5.1507,"2023-02-14 13:04:31.517"
5.2243,"2023-02-15 13:10:05.932"
5.2432,"2023-02-16 13:07:19.16"
5.2012,"2023-02-17 13:11:21.869"
5.173,"2023-02-22 15:39:24.527"
5.133,"2023-02-23 13:05:18.359"
5.1791,"2023-02-24 13:10:55.215"
5.196,"2023-02-27 13:11:43.013"
5.2078,"2023-02-28 13:11:19.197"
5.207,"2023-03-01 13:07:21.4"
5.208,"2023-03-02 13:09:37.928"
5.2037,"2023-03-03 13:04:25.958"
5.197,"2023-03-06 13:06:23.946"
5.1901,"2023-03-07 13:04:16.368"
5.1387,"2023-03-08 13:08:39.391"
5.1353,"2023-03-09 13:07:27.955"
5.1822,"2023-03-10 13:04:39.316"
5.24,"2023-03-13 13:07:19.847"
5.2362,"2023-03-14 13:06:42.426"
5.2981,"2023-03-15 13:10:23.373"
5.2892,"2023-03-16 13:08:36.441"
5.2679,"2023-03-17 13:06:41.604"
5.2467,"2023-03-20 13:09:32.724"
5.2444,"2023-03-21 13:02:26.895"
5.2648,"2023-03-22 13:03:35.608"
5.2632,"2023-03-23 13:11:17.083"
5.2921,"2023-03-24 13:10:20.867"
5.2306,"2023-03-27 13:04:25.505"
5.1733,"2023-03-28 13:06:23.561"
5.1493,"2023-03-29 13:03:45.818"
5.1254,"2023-03-30 13:11:18.582"
5.0804,"2023-03-31 13:03:22.571"
5.0637,"2023-04-03 13:04:18.827"
5.0762,"2023-04-04 13:04:34.464"
5.0447,"2023-04-05 13:05:17.533"
5.0683,"2023-04-06 13:03:26.701"
5.0834,"2023-04-10 13:06:33.063"
5.0128,"2023-04-11 13:08:32.067"
4.9496,"2023-04-12 13:06:18.938"
4.9097,"2023-04-13 13:05:15.825"
4.9455,"2023-04-14 13:05:18.797"
4.9421,"2023-04-17 13:27:04.05"
4.9678,"2023-04-18 13:06:23.327"
5.0467,"2023-04-19 13:05:45.757"
5.0497,"2023-04-20 13:06:23.988"
5.0595,"2023-04-24 13:11:39.727"
5.0613,"2023-04-25 13:06:29.387"
5.0585,"2023-04-26 13:09:29.782"
5.015,"2023-04-27 13:02:22.639"
5.0007,"2023-04-28 13:06:19.082"
5.0334,"2023-05-02 13:10:18.402"
5.0227,"2023-05-03 13:02:19.835"
5.0106,"2023-05-04 13:04:49.822"
4.9696,"2023-05-05 13:05:21.278"
4.9696,"2023-05-08 13:02:22.317"
5.0007,"2023-05-09 13:08:21.788"
4.9547,"2023-05-10 13:03:19.227"
4.9696,"2023-05-11 13:09:27.758"
4.9234,"2023-05-12 13:06:02.799"
4.9103,"2023-05-15 13:04:38.278"
4.9122,"2023-05-16 13:09:16.669"
4.9513,"2023-05-17 13:06:15.757"
4.9647,"2023-05-18 13:09:20.696"
4.9858,"2023-05-19 13:08:16.885"
4.968,"2023-05-22 13:05:22.716"
4.9674,"2023-05-23 13:08:23.321"
4.9474,"2023-05-24 13:04:35.737"
4.999,"2023-05-25 13:04:36.531"
5.0114,"2023-05-26 13:07:17.73"
4.9954,"2023-05-29 13:10:18.54"
5.0593,"2023-05-30 13:11:51.392"
5.0959,"2023-05-31 13:08:48.515"
5.035,"2023-06-01 13:07:17.224"
4.9558,"2023-06-02 13:11:19.302"
4.9236,"2023-06-05 13:09:24.732"
4.9292,"2023-06-06 13:06:25.817"
4.9119,"2023-06-07 13:09:16.372"
4.8922,"2023-06-09 13:10:17.92"
4.8832,"2023-06-12 13:03:35.049"
4.8533,"2023-06-13 13:09:17.108"
4.8462,"2023-06-14 13:06:22.3"
4.8222,"2023-06-15 13:09:16.317"
4.8286,"2023-06-16 13:02:18.255"
4.7803,"2023-06-19 13:07:00.3"
4.793,"2023-06-20 13:05:18.124"
4.7795,"2023-06-21 13:02:16.485"
4.775,"2023-06-22 13:08:23.693"
4.7799,"2023-06-23 13:09:21.781"
4.7698,"2023-06-26 13:02:20.091"
4.7903,"2023-06-27 13:05:03.712"
4.8563,"2023-06-28 13:10:26.062"
4.8584,"2023-06-29 13:03:21.705"
4.8192,"2023-06-30 13:10:24.365"
4.7876,"2023-07-03 13:07:21.026"
4.8056,"2023-07-04 13:06:26.268"
4.8577,"2023-07-05 13:11:18.189"
4.8977,"2023-07-06 13:07:23.157"
4.8799,"2023-07-07 13:03:18.04"
4.8735,"2023-07-10 13:09:19.369"
4.8949,"2023-07-11 13:03:43.48"
4.8058,"2023-07-12 13:07:21.656"
4.8038,"2023-07-13 13:09:16.6"
4.7957,"2023-07-14 13:08:19.613"
4.8302,"2023-07-17 13:06:45.114"
4.804,"2023-07-18 13:04:55.125"
4.8,"2023-07-19 13:08:34.698"
4.7888,"2023-07-20 13:10:25.034"
4.7732,"2023-07-21 13:03:18.13"
4.7457,"2023-07-24 13:07:25.216"
4.7496,"2023-07-25 13:11:28.371"
4.7368,"2023-07-26 13:03:17.208"
4.7202,"2023-07-27 13:09:18.232"
4.7253,"2023-07-28 13:02:47.965"
4.7415,"2023-07-31 13:02:52.412"
4.7752,"2023-08-01 13:06:17.378"
4.8083,"2023-08-02 13:10:20.27"
4.8797,"2023-08-03 13:08:03.164"
4.8609,"2023-08-04 13:04:37.236"
4.901,"2023-08-07 13:07:35.511"
4.9217,"2023-08-08 13:04:21.789"
4.9015,"2023-08-09 13:03:21.687"
4.8518,"2023-08-10 13:12:06.353"
4.8918,"2023-08-11 13:03:44.628"
4.9481,"2023-08-14 13:09:35.618"
4.9812,"2023-08-15 13:11:36.648"
4.9772,"2023-08-16 13:04:51.036"
4.9816,"2023-08-17 13:03:34.29"
4.9724,"2023-08-18 13:11:27.956"
4.9847,"2023-08-21 13:10:30.405"
4.9431,"2023-08-22 13:10:36.38"
4.8977,"2023-08-23 13:11:37.796"
4.8748,"2023-08-24 13:09:40.271"
4.8772,"2023-08-25 13:08:26.496"
4.8938,"2023-08-28 13:08:30.597"
4.8706,"2023-08-29 13:04:32.275"
4.8653,"2023-08-30 13:06:37.133"
4.9219,"2023-08-31 13:02:58.521"
4.9318,"2023-09-01 13:10:27.706"
4.9176,"2023-09-04 13:06:46.876"
4.9705,"2023-09-05 13:02:32.338"
4.9762,"2023-09-06 13:08:32.673"
4.9835,"2023-09-08 13:11:28.677"
4.9366,"2023-09-11 13:07:29.047"
4.9505,"2023-09-12 13:05:38.148"
4.9171,"2023-09-13 13:08:19.757"
4.8751,"2023-09-14 13:10:28.686"
4.8689,"2023-09-15 13:11:32.198"
4.8535,"2023-09-18 13:09:26.976"
4.8575,"2023-09-19 13:03:30.155"
4.8487,"2023-09-20 13:11:31.016"
4.9229,"2023-09-21 13:06:45.141"
4.9131,"2023-09-22 13:08:45.071"
4.9606,"2023-09-25 13:10:42.04"
4.9717,"2023-09-26 13:10:33.749"
5.0289,"2023-09-27 13:02:52.495"
5.0475,"2023-09-28 13:02:35.109"
5.0076,"2023-09-29 13:09:29.084"
5.0679,"2023-10-02 13:10:37.562"
5.11,"2023-10-03 13:06:35.216"
5.1526,"2023-10-04 13:06:57.406"
5.1713,"2023-10-05 13:08:41.646"
5.1918,"2023-10-06 13:07:34.464"
5.1666,"2023-10-09 13:22:11.067"
5.0862,"2023-10-10 13:11:30.76"
5.0496,"2023-10-11 13:05:06.911"
5.0625,"2023-10-13 13:06:03.284"
5.0618,"2023-10-16 13:05:08.04"
5.0384,"2023-10-17 13:04:27.446"
5.0568,"2023-10-18 13:10:35.363"
5.054,"2023-10-19 13:07:36.744"
5.0528,"2023-10-20 13:06:42.393"
5.0164,"2023-10-23 13:07:40.798"
5.0065,"2023-10-24 13:07:29.666"
4.9981,"2023-10-25 13:08:28.731"
5.0055,"2023-10-26 13:04:30.356"
4.948,"2023-10-27 13:03:30.348"
5.0074,"2023-10-30 13:03:39.266"
5.0575,"2023-10-31 13:05:31.053"
5.0194,"2023-11-01 13:11:42.1"
4.891,"2023-11-03 13:05:47.571"
4.8999,"2023-11-06 13:05:30.746"
4.867,"2023-11-07 13:09:32.911"
4.8855,"2023-11-08 13:09:36.404"
4.9007,"2023-11-09 13:08:31.522"
4.9219,"2023-11-10 13:05:44.478"
4.9247,"2023-11-13 13:11:27.54"
4.8682,"2023-11-14 13:04:30.632"
4.8575,"2023-11-16 13:06:32.07"
4.8849,"2023-11-17 13:06:31.816"
4.8723,"2023-11-20 13:05:32.464"
4.8806,"2023-11-21 13:07:37.677"
4.8968,"2023-11-22 13:09:27.054"
4.8931,"2023-11-23 13:08:28.913"
4.8927,"2023-11-24 13:08:29.188"
4.8951,"2023-11-27 13:08:38.431"
4.8867,"2023-11-28 13:07:48.77"
4.8933,"2023-11-29 13:09:28.279"
4.9355,"2023-11-30 13:04:55.748"
4.9191,"2023-12-01 13:04:28.599"
4.9091,"2023-12-04 13:05:27.398"
4.9522,"2023-12-05 13:05:41.139"
4.9031,"2023-12-06 13:09:42.379"
4.8949,"2023-12-07 13:04:06.964"
4.9158,"2023-12-08 13:05:40.626"
4.944,"2023-12-11 13:06:51.944"
4.9476,"2023-12-12 13:02:38.028"
4.958,"2023-12-13 13:09:31.499"
4.8912,"2023-12-14 13:09:42.568"
4.9397,"2023-12-15 13:09:09.119"
4.9399,"2023-12-18 13:05:33.405"
4.8663,"2023-12-19 13:04:31.068"
4.8766,"2023-12-20 13:04:28.828"
4.8755,"2023-12-21 13:07:35.231"
4.8619,"2023-12-22 13:02:59.214"
4.8368,"2023-12-26 13:07:41.053"
4.8306,"2023-12-27 13:05:01.784"
4.8413,"2023-12-28 13:04:46.986"
4.8413,"2023-12-29 10:04:11.873"
4.8916,"2024-01-02 13:05:50.319"
4.9212,"2024-01-03 13:14:41.153"
4.9188,"2024-01-04 13:05:35.048"
4.8899,"2024-01-05 13:10:31.843"
4.885,"2024-01-08 13:11:30.76"
4.8937,"2024-01-09 13:09:30.847"
4.8901,"2024-01-10 13:09:34.773"
4.8794,"2024-01-11 17:03:40.62"
4.8543,"2024-01-12 13:26:56.442"
4.8765,"2024-01-15 13:38:08.191"
4.9038,"2024-01-16 13:35:20.885"
4.9346,"2024-01-17 14:31:39.649"
4.9403,"2024-01-18 14:01:21.265"
4.9223,"2024-01-19 13:47:20.596"
4.949,"2024-01-22 14:01:41.133"
4.9715,"2024-01-23 13:45:44.855"
4.9192,"2024-01-24 15:11:37.211"
4.9232,"2024-01-25 14:04:32.162"
4.9125,"2024-01-26 15:32:06.422"
4.9225,"2024-01-29 13:32:10.106"
4.9638,"2024-01-30 14:41:21.832"
4.9535,"2024-01-31 15:06:26.221"
4.935,"2024-02-01 14:06:13.552"
4.9471,"2024-02-02 14:40:09.601"
5.0053,"2024-02-05 13:56:02.361"
4.9687,"2024-02-06 15:11:48.19"
4.9608,"2024-02-07 14:22:27.517"
4.9804,"2024-02-08 15:58:03.35"
4.9717,"2024-02-09 17:00:17.365"
4.9723,"2024-02-14 16:08:18.894"
4.971,"2024-02-15 15:48:58.708"
4.9761,"2024-02-16 15:17:16.154"
4.9585,"2024-02-19 16:19:32.578"
4.9408,"2024-02-20 16:53:02.73"
4.9303,"2024-02-21 16:55:39.485"
4.9419,"2024-02-22 14:54:54.287"
4.9851,"2024-02-23 15:22:33.596"
4.9819,"2024-02-26 14:20:09.253"
4.9575,"2024-02-27 15:46:53.499"
4.9557,"2024-02-28 15:24:17.185"
4.9833,"2024-02-29 14:45:45.193"
4.9596,"2024-03-01 16:03:40.975"
4.9475,"2024-03-04 14:42:02.179"
4.9488,"2024-03-05 15:43:56.827"
4.9398,"2024-03-06 14:56:03.471"
4.9364,"2024-03-07 15:18:18.444"
4.9751,"2024-03-08 15:00:11.918"
4.9777,"2024-03-11 15:31:13.971"
4.9813,"2024-03-12 14:50:50.46"
4.9803,"2024-03-13 15:55:01.791"
4.9768,"2024-03-14 14:45:30.493"
4.9937,"2024-03-15 15:16:04.201"
5.0124,"2024-03-18 14:10:32.77"
5.0352,"2024-03-19 15:40:01.534"
5.012,"2024-03-20 13:45:09.098"
4.9807,"2024-03-21 14:36:42.31"
4.9897,"2024-03-22 15:15:23.867"
4.9869,"2024-03-25 16:00:00.987"
4.987,"2024-03-26 15:40:45.601"
4.9856,"2024-03-27 15:15:35.846"
4.9962,"2024-03-28 14:40:02.052"
5.0532,"2024-04-01 15:50:06.195"
5.0476,"2024-04-02 16:38:13.184"
5.0724,"2024-04-03 15:35:28.284"
5.0237,"2024-04-04 14:45:04.02"
5.052,"2024-04-05 15:55:09.26"
5.0421,"2024-04-08 15:00:05.182"
5.008,"2024-04-09 15:50:01.524"
5.0654,"2024-04-10 15:59:06.586"
5.0765,"2024-04-11 14:55:12.983"
5.1364,"2024-04-12 15:00:05.522"
5.1746,"2024-04-15 15:59:49.891"
5.2635,"2024-04-16 15:50:06.851"
5.2469,"2024-04-17 16:00:09.134"
5.2512,"2024-04-18 16:00:18.309"
5.2269,"2024-04-19 14:59:03.689"
5.2043,"2024-04-22 16:00:10.542"
5.1626,"2024-04-23 15:35:21.576"
5.1592,"2024-04-24 14:57:25.36"
5.1679,"2024-04-25 15:16:13.834"
5.1184,"2024-04-26 15:44:48.581"
5.1155,"2024-04-29 13:08:20.023"
5.1718,"2024-04-30 13:09:37.423"
5.1184,"2024-05-02 13:07:09.245"
5.0668,"2024-05-03 13:06:33.607"
5.0727,"2024-05-06 13:06:55.822"
5.061,"2024-05-07 13:05:59.873"
5.0887,"2024-05-08 13:07:29.848"
5.1577,"2024-05-09 13:07:40.583"
5.1464,"2024-05-10 13:04:52.798"
5.1412,"2024-05-13 13:11:29.962"
5.1356,"2024-05-14 13:04:30.818"
5.1423,"2024-05-15 13:06:32.351"
5.127,"2024-05-16 13:09:44.0"
5.1157,"2024-05-17 13:10:28.887"
5.1085,"2024-05-20 13:07:32.028"
5.1037,"2024-05-21 13:06:29.619"
5.1502,"2024-05-22 13:05:28.792"
5.1443,"2024-05-23 13:03:33.437"
5.1508,"2024-05-24 13:07:40.904"
5.1704,"2024-05-27 13:15:28.728"
5.1538,"2024-05-28 13:11:46.492"
5.1972,"2024-05-29 13:07:36.41"
5.2416,"2024-05-31 13:03:45.288"
5.2373,"2024-06-03 13:11:47.244"
5.2687,"2024-06-04 13:02:40.107"
5.2841,"2024-06-05 13:07:32.62"
5.2681,"2024-06-06 13:10:31.917"
5.2802,"2024-06-07 13:04:53.322"
5.3666,"2024-06-10 13:09:35.959"
5.3524,"2024-06-11 13:08:34.928"
5.3891,"2024-06-12 13:11:32.222"
5.3974,"2024-06-13 13:11:06.004"
5.363,"2024-06-14 13:06:31.494"
5.413,"2024-06-17 13:10:32.154"
5.4074,"2024-06-18 13:07:40.49"
5.4647,"2024-06-19 13:09:27.702"
5.4254,"2024-06-20 13:02:51.523"
5.4416,"2024-06-21 13:05:36.455"
5.4,"2024-06-24 13:10:29.145"
5.429,"2024-06-25 13:11:31.488"
5.5097,"2024-06-26 13:10:43.551"
5.5229,"2024-06-27 13:02:38.797"
5.5589,"2024-06-28 13:08:04.301"
5.5893,"2024-07-01 13:03:57.329"
5.6677,"2024-07-02 13:08:31.707"
5.5863,"2024-07-03 13:10:34.446"
5.4839,"2024-07-04 13:04:34.656"
5.497,"2024-07-05 13:03:27.921"
5.472,"2024-07-08 13:03:31.513"
5.4387,"2024-07-09 13:08:29.676"
5.3967,"2024-07-10 13:10:36.509"
5.41,"2024-07-11 13:07:31.998"
5.4529,"2024-07-12 13:11:28.352"
5.4563,"2024-07-15 13:08:31.802"
5.4274,"2024-07-16 13:02:29.319"
5.467,"2024-07-17 13:07:51.556"
5.5426,"2024-07-18 13:06:33.813"
5.5543,"2024-07-19 13:08:27.646"
5.5598,"2024-07-22 13:02:41.989"
5.5807,"2024-07-23 13:07:28.133"
5.6346,"2024-07-24 13:10:32.611"
5.6402,"2024-07-25 13:02:31.161"
5.6465,"2024-07-26 13:08:45.786"
5.6479,"2024-07-29 13:08:38.103"
5.6532,"2024-07-30 13:05:29.119"
5.6621,"2024-07-31 13:06:27.451"
5.6681,"2024-08-01 13:04:45.039"
5.7366,"2024-08-02 13:08:25.895"
5.7646,"2024-08-05 13:04:30.94"
5.6528,"2024-08-06 13:07:56.736"
5.6093,"2024-08-07 13:11:35.951"
5.6172,"2024-08-08 13:05:28.691"
5.5115,"2024-08-09 13:03:28.543"
5.4911,"2024-08-12 13:02:28.229"
5.4875,"2024-08-13 13:09:28.245"
5.4502,"2024-08-14 13:08:26.791"
5.4651,"2024-08-15 13:11:27.417"
5.4632,"2024-08-16 13:05:26.51"
5.4237,"2024-08-19 13:10:28.41"
5.4547,"2024-08-20 13:05:29.267"
5.4707,"2024-08-21 13:07:29.765"
5.5524,"2024-08-22 13:09:28.648"
5.5263,"2024-08-23 13:11:28.946"
5.4921,"2024-08-26 13:12:40.667"
5.4969,"2024-08-27 13:06:27.781"
5.5315,"2024-08-28 13:11:27.534"
5.6358,"2024-08-29 13:06:29.452"
5.6562,"2024-08-30 13:03:31.368"
5.623,"2024-09-02 13:08:26.344"
5.6224,"2024-09-03 13:09:53.648"
5.6359,"2024-09-04 13:10:25.751"
5.6049,"2024-09-05 13:08:11.367"
5.5702,"2024-09-06 13:05:28.557"
5.6097,"2024-09-09 13:05:33.843"
5.6254,"2024-09-10 13:10:31.119"
5.6387,"2024-09-11 14:59:41.798"
5.6554,"2024-09-12 13:09:32.111"
5.5717,"2024-09-13 13:06:29.112"
5.5207,"2024-09-16 13:02:31.597"
5.501,"2024-09-17 13:03:32.089"
5.4767,"2024-09-18 13:11:29.915"
5.4189,"2024-09-19 13:07:27.527"
5.4775,"2024-09-20 13:02:38.238"
5.5446,"2024-09-23 13:04:14.017"
5.4702,"2024-09-24 13:08:32.842"
5.4736,"2024-09-25 13:11:28.617"
5.4412,"2024-09-26 13:09:31.055"
5.4431,"2024-09-27 13:12:31.787"
5.4481,"2024-09-30 13:08:57.897"
5.4521,"2024-10-01 13:10:02.0"
5.4305,"2024-10-02 13:13:14.315"
5.485,"2024-10-03 13:06:31.51"
5.4686,"2024-10-04 13:11:35.313"
5.4626,"2024-10-07 13:04:28.548"
5.5197,"2024-10-08 13:11:40.442"
5.5737,"2024-10-09 13:09:40.942"
5.5819,"2024-10-10 13:13:44.916"
5.6263,"2024-10-11 13:04:30.872"
5.6045,"2024-10-14 13:09:27.371"
5.6378,"2024-10-15 13:06:27.393"
5.6749,"2024-10-16 13:02:28.074"
5.6758,"2024-10-17 13:03:30.348"
5.6672,"2024-10-18 13:11:27.157"
5.7068,"2024-10-21 13:03:32.211"
5.6958,"2024-10-22 13:06:30.894"
5.7149,"2024-10-23 13:03:29.972"
5.7087,"2024-10-24 13:07:25.935"
5.6969,"2024-10-25 13:11:30.239"
5.6988,"2024-10-28 13:02:32.494"
5.714,"2024-10-29 13:09:32.089"
5.7801,"2024-10-30 13:05:35.096"
5.7779,"2024-10-31 13:09:27.538"
5.8073,"2024-11-01 13:03:27.646"
5.7898,"2024-11-04 13:02:46.918"
5.7846,"2024-11-05 13:08:29.428"
5.7648,"2024-11-06 13:03:27.848"
5.6624,"2024-11-07 13:02:27.796"
5.7648,"2024-11-08 13:05:28.232"
5.798,"2024-11-11 13:02:29.081"
5.7694,"2024-11-12 13:06:27.435"
5.7713,"2024-11-13 13:02:28.602"
5.7885,"2024-11-14 13:06:28.504"
5.7603,"2024-11-18 13:10:28.511"
5.7743,"2024-11-19 13:06:31.265"
5.8173,"2024-11-21 13:11:27.977"
5.8124,"2024-11-22 13:09:34.496"
5.8002,"2024-11-25 13:08:26.716"
5.799,"2024-11-26 13:12:53.41"
5.8291,"2024-11-27 13:02:27.461"
5.9871,"2024-11-28 13:05:32.071"
6.0535,"2024-11-29 13:07:34.549"
6.0634,"2024-12-02 13:08:27.675"
6.0707,"2024-12-03 13:06:28.582"
6.0581,"2024-12-04 13:02:28.851"
5.9849,"2024-12-05 13:06:30.81"
6.0293,"2024-12-06 13:07:27.027"
6.057,"2024-12-09 13:10:28.135"
6.0529,"2024-12-10 13:11:51.717"
6.032,"2024-12-11 13:05:29.188"
5.9408,"2024-12-12 13:10:28.002"
6.04,"2024-12-13 13:11:29.446"
6.0509,"2024-12-16 13:11:37.029"
6.1685,"2024-12-17 13:02:29.934"
6.1624,"2024-12-18 13:05:29.757"
6.1841,"2024-12-19 13:03:32.087"
6.078,"2024-12-20 13:08:36.643"
6.1612,"2024-12-23 13:03:27.687"
6.1541,"2024-12-24 11:10:05.681"
6.1656,"2024-12-26 13:09:30.003"
6.1991,"2024-12-27 13:03:30.393"
6.1923,"2024-12-30 13:06:26.618"
6.1923,"2024-12-31 10:04:09.264"